Date-Time	Station_ID	CBOD	DO	FLOW	NH3	NOX	NP RATIO	ORGN	ORGP	PO4	TKN	TN	TP	TSS	WTEMP
01/31/2016 00:00	TN0020460	7.10000	8.90000	0.01117	0.30000	32.31065	11.20340	2.30662	1.34017	1.77650	2.60662	34.91727	3.11667	3.00000	15.00000
02/01/2016 00:00	TN0020460	7.90000	8.70000	0.02024	0.09000	9.69320	3.36102	0.69199	1.34017	1.77650	0.78199	10.47518	3.11667	4.20000	15.00000
02/29/2016 00:00	TN0020460	7.90000	8.70000	0.02024	0.09000	9.69320	3.36102	0.69199	1.34017	1.77650	0.78199	10.47518	3.11667	4.20000	15.00000
03/01/2016 00:00	TN0020460	8.70000	8.20000	0.01717	0.16000	17.23235	5.97515	1.23020	1.34017	1.77650	1.39020	18.62254	3.11667	3.20000	15.00000
03/31/2016 00:00	TN0020460	8.70000	8.20000	0.01717	0.16000	17.23235	5.97515	1.23020	1.34017	1.77650	1.39020	18.62254	3.11667	3.20000	15.00000
04/01/2016 00:00	TN0020460	9.20000	7.10000	0.00907	0.10000	10.77022	3.73447	0.76887	1.34017	1.77650	0.86887	11.63909	3.11667	4.00000	25.00000
04/30/2016 00:00	TN0020460	9.20000	7.10000	0.00907	0.10000	10.77022	3.73447	0.76887	1.34017	1.77650	0.86887	11.63909	3.11667	4.00000	25.00000
05/01/2016 00:00	TN0020460	9.20000	7.50000	0.01170	0.08000	8.61617	2.98757	0.61510	1.34017	1.77650	0.69510	9.31127	3.11667	5.00000	25.00000
05/31/2016 00:00	TN0020460	9.20000	7.50000	0.01170	0.08000	8.61617	2.98757	0.61510	1.34017	1.77650	0.69510	9.31127	3.11667	5.00000	25.00000
06/01/2016 00:00	TN0020460	10.60000	6.90000	0.00898	0.04000	4.30809	1.49379	0.30755	1.34017	1.77650	0.34755	4.65564	3.11667	3.00000	25.00000
06/30/2016 00:00	TN0020460	10.60000	6.90000	0.00898	0.04000	4.30809	1.49379	0.30755	1.34017	1.77650	0.34755	4.65564	3.11667	3.00000	25.00000
07/01/2016 00:00	TN0020460	13.00000	6.30000	0.01380	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	4.00000	25.00000
07/31/2016 00:00	TN0020460	13.00000	6.30000	0.01380	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	4.00000	25.00000
08/01/2016 00:00	TN0020460	9.60000	6.30000	0.01117	0.06000	6.46213	2.24068	0.46132	1.34017	1.77650	0.52132	6.98345	3.11667	3.40000	25.00000
08/31/2016 00:00	TN0020460	9.60000	6.30000	0.01117	0.06000	6.46213	2.24068	0.46132	1.34017	1.77650	0.52132	6.98345	3.11667	3.40000	25.00000
09/01/2016 00:00	TN0020460	8.60000	6.00000	0.00938	0.31000	33.38767	11.57685	2.38351	1.34017	1.77650	2.69351	36.08118	3.11667	2.00000	25.00000
09/30/2016 00:00	TN0020460	8.60000	6.00000	0.00938	0.31000	33.38767	11.57685	2.38351	1.34017	1.77650	2.69351	36.08118	3.11667	2.00000	25.00000
10/01/2016 00:00	TN0020460	8.20000	6.90000	0.00898	0.34000	36.61874	12.69719	2.61417	1.34017	1.77650	2.95417	39.57291	3.11667	2.00000	15.00000
10/31/2016 00:00	TN0020460	8.20000	6.90000	0.00898	0.34000	36.61874	12.69719	2.61417	1.34017	1.77650	2.95417	39.57291	3.11667	2.00000	15.00000
11/01/2016 00:00	TN0020460	6.60000	7.60000	0.00920	0.06000	6.46213	2.24068	0.46132	1.34017	1.77650	0.52132	6.98345	3.11667	2.00000	15.00000
11/30/2016 00:00	TN0020460	6.60000	7.60000	0.00920	0.06000	6.46213	2.24068	0.46132	1.34017	1.77650	0.52132	6.98345	3.11667	2.00000	15.00000
12/01/2016 00:00	TN0020460	5.60000	8.60000	0.01222	0.04000	4.30809	1.49379	0.30755	1.34017	1.77650	0.34755	4.65564	3.11667	2.50000	15.00000
12/31/2016 00:00	TN0020460	5.60000	8.60000	0.01222	0.04000	4.30809	1.49379	0.30755	1.34017	1.77650	0.34755	4.65564	3.11667	2.50000	15.00000
01/01/2017 00:00	TN0020460	7.30000	8.50000	0.01617	0.90000	40.27483	14.13369	2.87517	1.34017	1.77650	3.77517	44.05000	3.11667	8.50000	15.00000
01/31/2017 00:00	TN0020460	7.30000	8.50000	0.01617	0.90000	40.27483	14.13369	2.87517	1.34017	1.77650	3.77517	44.05000	3.11667	8.50000	15.00000
02/01/2017 00:00	TN0020460	8.50000	8.50000	0.01095	0.14000	15.07830	5.22825	1.07642	1.34017	1.77650	1.21642	16.29473	3.11667	7.90000	15.00000
02/28/2017 00:00	TN0020460	8.50000	8.50000	0.01095	0.14000	15.07830	5.22825	1.07642	1.34017	1.77650	1.21642	16.29473	3.11667	7.90000	15.00000
03/01/2017 00:00	TN0020460	6.80000	8.30000	0.01538	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	1.80000	15.00000
03/31/2017 00:00	TN0020460	6.80000	8.30000	0.01538	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	1.80000	15.00000
04/01/2017 00:00	TN0020460	7.20000	7.80000	0.01858	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	3.30000	25.00000
04/30/2017 00:00	TN0020460	7.20000	7.80000	0.01858	0.05000	5.38511	1.86723	0.38444	1.34017	1.77650	0.43444	5.81955	3.11667	3.30000	25.00000
05/01/2017 00:00	TN0020460	6.40000	7.40000	0.01625	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	2.20000	25.00000
05/31/2017 00:00	TN0020460	6.40000	7.40000	0.01625	0.03000	3.23107	1.12034	0.23066	1.34017	1.77650	0.26066	3.49173	3.11667	2.20000	25.00000
06/01/2017 00:00	TN0020460	7.00000	6.70000	0.01052	0.04000	4.30809	1.49379	0.30755	1.34017	1.77650	0.34755	4.65564	3.11667	3.20000	25.00000
