Sample,DO,Cond,ph,Temp,Turb
673,6.01,430,7.86,21.32,9.4
674,6.05,429,7.86,21.2,9.6
675,6.03,428,7.86,21.09,9.7
676,5.65,427,7.86,20.97,9.7
677,5.54,426,7.87,20.86,9.4
678,6.01,425,7.88,20.72,9.2
679,6.03,425,7.87,20.6,9.6
680,6.02,426,7.87,20.48,9.5
681,5.98,427,7.89,20.36,10.3
682,5.97,430,7.88,20.25,10
683,6.07,433,7.88,20.17,10.1
684,6.11,435,7.9,20.08,10.3
685,6.13,439,7.91,20.01,10.8
686,6.21,443,7.92,19.91,10.9
687,6.25,446,7.93,19.83,11.4
688,6.17,450,7.95,19.76,11.9
689,6.14,453,7.96,19.71,12.4
690,6.46,456,7.97,19.67,12.4
691,6.56,459,7.99,19.64,12.8
692,6.66,462,8,19.64,13.5
693,6.51,465,8.01,19.67,12.1
694,6.44,468,8.03,19.7,12.2
695,7.02,472,8.04,19.87,13.1
696,7.15,475,8.04,20.01,13.8
697,7.27,479,8.06,20.15,13.9
698,7.38,483,8.07,20.27,13.8
699,7.44,486,8.05,20.35,13.9
700,7.52,490,8.06,20.45,14.3
701,7.61,492,8.07,20.58,15.8
702,7.65,495,8.07,20.62,14.2
703,7.68,497,8.07,20.62,13.8
704,7.69,499,8.07,20.65,14.2
705,7.63,500,8.07,20.74,14.5
706,7.59,502,8.08,20.67,14
